# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
3.334628369E1,4.687500000E2
3.338895036E1,6.328125000E2
3.343161702E1,4.687500000E1
3.347428369E1,5.156250000E2
3.351695036E1,3.515625000E2
3.355961702E1,3.515625000E2
3.360228369E1,3.281250000E2
3.364495036E1,3.984375000E2
3.368761702E1,9.375000000E1
3.373028369E1,4.687500000E1
3.377295036E1,5.625000000E2
3.381561702E1,6.562500000E2
3.385828369E1,6.562500000E2
3.390095036E1,6.562500000E2
3.394361702E1,5.625000000E2
3.398628369E1,6.796875000E2
3.402895036E1,5.156250000E2
3.407161702E1,5.156250000E2
3.411428369E1,3.750000000E2
3.415695036E1,3.750000000E2
3.419961702E1,3.750000000E2
3.424228369E1,4.687500000E1
3.428495036E1,4.687500000E1
3.432761702E1,4.687500000E1
3.437028369E1,3.750000000E2
3.441295036E1,5.156250000E2
3.445561702E1,5.156250000E2
3.449828369E1,3.984375000E2
3.454095036E1,3.984375000E2
3.458361702E1,2.343750000E1
3.462628369E1,6.562500000E2
3.466895036E1,4.687500000E1
3.471161702E1,4.687500000E1
3.475428369E1,3.750000000E2
3.479695036E1,3.750000000E2
3.483961702E1,4.687500000E2
3.488228369E1,4.687500000E1
3.492495036E1,2.343750000E1
3.496761702E1,4.687500000E1
3.501028369E1,3.750000000E2
3.505295036E1,4.687500000E1
3.509561702E1,4.687500000E1
3.513828369E1,4.687500000E1
3.518095036E1,4.687500000E1
3.522361702E1,5.156250000E2
3.526628369E1,4.687500000E1
3.530895036E1,4.687500000E1
3.535161702E1,7.031250000E1
3.539428369E1,4.687500000E1
3.543695036E1,2.343750000E1
3.547961702E1,4.687500000E1
3.552228369E1,4.687500000E1
3.556495036E1,4.687500000E1
3.560761702E1,4.687500000E1
3.565028369E1,4.687500000E1
3.569295036E1,4.687500000E1
3.573561702E1,1.171875000E2
3.577828369E1,3.046875000E2
3.582095036E1,9.375000000E1
3.586361702E1,4.921875000E2
3.590628369E1,4.687500000E1
3.594895036E1,2.343750000E1
3.599161702E1,5.859375000E2
3.603428369E1,5.859375000E2
3.607695036E1,9.375000000E1
3.611961702E1,2.343750000E1
3.616228369E1,2.812500000E2
3.620495036E1,4.687500000E1
3.624761702E1,4.687500000E1
3.629028369E1,1.171875000E2
3.633295036E1,4.453125000E2
3.637561702E1,1.171875000E2
3.641828369E1,1.171875000E2
3.646095036E1,3.515625000E2
3.650361702E1,3.515625000E2
