# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.781250000E4,2.421088687E-2
1.783593750E4,1.007641348E-1
1.785937500E4,7.203372916E-2
1.788281250E4,4.093347537E-2
1.790625000E4,1.259513026E-1
1.792968750E4,5.582243886E-2
1.795312500E4,5.083845583E-2
1.797656250E4,2.753329077E-2
1.800000000E4,5.006556998E-2
1.802343750E4,2.219971847E-2
1.804687500E4,5.149584515E-2
1.807031250E4,1.241960314E-1
1.809375000E4,7.567359102E-3
1.811718750E4,1.599272274E-2
1.814062500E4,6.113658918E-2
1.816406250E4,1.077316901E-1
1.818750000E4,1.426836797E-1
1.821093750E4,6.760304490E-2
1.823437500E4,2.494184969E-2
1.825781250E4,8.815555409E-2
1.828125000E4,8.333648022E-2
1.830468750E4,1.241219159E-1
1.832812500E4,1.926723811E-2
1.835156250E4,1.017629618E-1
1.837500000E4,8.403870018E-2
1.839843750E4,1.912439649E-2
1.842187500E4,6.208048206E-2
1.844531250E4,2.881007295E-2
1.846875000E4,6.265719033E-2
1.849218750E4,1.246658138E-1
1.851562500E4,8.457099443E-2
1.853906250E4,2.644887274E-2
1.856250000E4,7.246809897E-2
1.858593750E4,9.543917828E-2
1.860937500E4,1.098808841E-1
1.863281250E4,2.869897326E-2
1.865625000E4,1.681096408E-2
1.867968750E4,4.371021014E-2
1.870312500E4,5.548030835E-2
1.872656250E4,6.714368788E-2
1.875000000E4,1.260030841E-1
1.877343750E4,7.152704844E-2
1.879687500E4,4.322127842E-2
1.882031250E4,5.015109798E-2
1.884375000E4,3.603328095E-2
