"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.456199862E0,-3.756536245E-1,-5.355501175E-2,2.386999130E-1
1.461199862E0,-2.969898283E-1,-5.109691620E-2,3.181533813E-1
1.466199862E0,-2.238491774E-1,-6.568527222E-2,3.550748825E-1
1.471199862E0,-1.371337175E-1,-6.762123108E-2,3.657627106E-1
1.476199862E0,-4.525540769E-2,-7.023859024E-2,3.990221024E-1
1.481199862E0,8.558094501E-2,-7.017278671E-2,3.870449066E-1
1.486199862E0,9.321610630E-2,-7.925987244E-3,3.700113297E-1
1.491199862E0,3.496138752E-2,2.424049377E-2,2.806816101E-1
1.496199862E0,2.499917150E-2,4.265356064E-2,2.651948929E-1
1.501199862E0,8.602811396E-2,8.468484879E-2,2.896461487E-1
1.506199862E0,1.393030435E-1,1.292786598E-1,2.471628189E-1
1.511199862E0,1.519917697E-1,1.545710564E-1,1.974725723E-1
1.516199862E0,1.687766314E-1,1.650881767E-1,1.574544907E-1
1.521199862E0,1.636371762E-1,1.511573792E-1,1.064500809E-1
1.526199862E0,1.484736949E-1,1.540236473E-1,9.253501892E-3
1.531199862E0,1.492955983E-1,1.663804054E-1,-9.364795685E-2
1.536199862E0,1.752241105E-1,1.872529984E-1,-1.924743652E-1
1.541199862E0,1.908655912E-1,1.969861984E-1,-2.944154739E-1
1.546199862E0,2.120261639E-1,2.034459114E-1,-3.933162689E-1
1.551199862E0,2.405487001E-1,1.952352524E-1,-4.698219299E-1
1.556199862E0,2.184306532E-1,1.895937920E-1,-4.984893799E-1
1.561199862E0,1.830139458E-1,1.836333275E-1,-5.023450851E-1
1.566199862E0,2.038302124E-1,1.681885719E-1,-5.159749985E-1
1.571199862E0,2.287336588E-1,1.417274475E-1,-5.403847694E-1
1.576199862E0,2.656458616E-1,1.041040421E-1,-5.459985733E-1
1.581199862E0,2.716215253E-1,-3.254270554E-2,-1.489667892E-1
1.586199862E0,2.832540870E-1,-5.545043945E-2,-2.840013504E-1
1.591199862E0,2.718884051E-1,5.433750153E-2,-4.050884247E-1
1.793207103E0,0.000000000E0,0.000000000E0,0.000000000E0
1.798207103E0,2.194166183E-2,1.207637787E-2,9.823560715E-2
1.803207103E0,6.924104691E-2,-7.084369659E-3,1.185669899E-1
1.808207103E0,3.228616714E-2,3.476238251E-2,7.682323456E-3
1.813207103E0,-1.555738449E-1,8.990192413E-2,-2.152729034E-1
1.818207103E0,-4.363365173E-1,1.353454590E-1,-5.080552101E-1
1.823207103E0,-3.860943317E-1,-5.701780319E-2,-5.012397766E-1
1.828207103E0,-3.070740700E-1,-1.843094826E-1,-5.098199844E-1
1.833207103E0,-3.263368607E-1,-2.884640694E-1,-6.185207367E-1
1.838207103E0,-3.500981331E-1,-3.548913002E-1,-7.271628380E-1
1.843207103E0,-3.810579777E-1,-4.157419205E-1,-7.620954514E-1
1.848207103E0,-4.090874195E-1,-4.228820801E-1,-8.123078346E-1
1.853207103E0,-4.475014210E-1,-3.824419975E-1,-8.985795975E-1
1.858207103E0,-5.365478992E-1,-2.901382446E-1,-9.639043808E-1
1.863207103E0,-6.089057922E-1,-2.344331741E-1,-9.625835419E-1
1.868207103E0,-6.533480883E-1,-1.941518784E-1,-9.121651649E-1
1.873207103E0,-5.702761412E-1,-2.376623154E-1,-7.643485069E-1
1.878207103E0,-4.639135599E-1,-2.746672630E-1,-5.142121315E-1
1.883207103E0,-3.517198563E-1,-2.769303322E-1,-2.403721809E-1
1.888207103E0,-3.142120838E-1,-2.355232239E-1,8.198738098E-3
1.893207103E0,-2.950187922E-1,-1.793351173E-1,2.175283432E-1
1.898207103E0,-2.805964947E-1,-1.210675240E-1,3.902540207E-1
1.903207103E0,-2.647229433E-1,-9.023237228E-2,5.053963661E-1
1.908207103E0,-2.455360889E-1,-9.258842468E-2,5.854549408E-1
1.913207103E0,-2.033773661E-1,-9.873771667E-2,5.986146927E-1
1.918207103E0,-1.142582893E-1,-1.354761124E-1,6.298117638E-1
1.923207103E0,-5.878436565E-2,-1.240978241E-1,6.545591354E-1
1.928207103E0,-6.942510605E-2,-9.341955185E-2,6.453795433E-1
1.933207103E0,-1.116049290E-1,-8.657646179E-2,6.030263901E-1
1.938207103E0,-1.644407511E-1,-1.008667946E-1,5.692777634E-1
1.943207103E0,-1.860240698E-1,-1.506004333E-1,6.040558815E-1
1.948207103E0,-1.454559565E-1,-1.865997314E-1,6.734895706E-1
1.953207103E0,-1.440215111E-1,-1.923179626E-1,6.362118721E-1
1.958207103E0,-1.832162142E-1,-1.596312523E-1,4.986448288E-1
1.963207103E0,-2.420877218E-1,-1.493101120E-1,3.008255959E-1
1.968207103E0,-2.804269791E-1,-1.370186806E-1,1.474866867E-1
1.973207103E0,-2.798590660E-1,-1.303915977E-1,2.844810486E-2
1.978207103E0,-3.023767471E-1,-1.115636826E-1,-8.681058884E-2
1.983207103E0,-2.973924875E-1,-9.013700485E-2,-2.033252716E-1
1.988207103E0,-2.976285219E-1,-7.871627808E-2,-2.885704041E-1
1.993207103E0,-3.479859829E-1,-5.489730835E-2,-3.573703766E-1
1.998207103E0,-3.885403872E-1,-2.911949158E-2,-4.197850227E-1
2.003207103E0,-3.842791319E-1,-2.945423126E-2,-4.411869049E-1
2.008207103E0,-3.423018456E-1,-3.555393219E-2,-4.187102318E-1
2.013207103E0,-2.775479555E-1,-2.998876572E-2,-3.832030296E-1
2.018207103E0,-2.334016562E-1,-2.764606476E-2,-3.162078857E-1
2.023207103E0,-1.925375462E-1,-3.078460693E-3,-2.165040970E-1
2.028207103E0,-1.430313587E-1,1.728916168E-2,-1.105790138E-1
2.033207103E0,-8.675181866E-2,5.044507980E-2,-2.805233002E-3
2.038207103E0,-5.444777012E-2,7.224416733E-2,6.924962997E-2
2.043207103E0,-1.759147644E-2,6.267070770E-2,1.200747490E-1
2.048207103E0,4.437375069E-2,5.327653885E-2,1.602640152E-1
2.053207103E0,7.858681679E-2,4.254817963E-2,1.988291740E-1
2.058207103E0,7.934200764E-2,3.724908829E-2,2.375965118E-1
2.063207103E0,9.751856327E-2,3.785943985E-2,2.652955055E-1
2.068207103E0,7.763290405E-2,1.953411102E-2,2.935090065E-1
2.073207103E0,5.320680141E-2,4.111242294E-2,3.114404678E-1
2.078207103E0,9.358811378E-2,4.723072052E-2,2.977437973E-1
2.083207103E0,8.864676952E-2,4.498100281E-2,2.884936333E-1
